Fecha,Cierre,Apertura,Máximo,Mínimo,Vol.,% var.,Volumen
13.05.2026,18.59,18.73,18.73,18.325,6.66M,0.32%,6660000.0
12.05.2026,18.53,18.465,18.705,18.445,9.68M,-1.23%,9680000.0
11.05.2026,18.76,18.94,19.125,18.69,7.20M,-0.87%,7200000.0
08.05.2026,18.925,18.655,19.135,18.6,8.31M,-0.26%,8310000.000000001
07.05.2026,18.975,18.915,19.065,18.8,10.62M,0.53%,10620000.0
06.05.2026,18.875,18.485,19.115,18.445,11.36M,3.51%,11360000.0
05.05.2026,18.235,17.875,18.26,17.705,6.90M,1.90%,6900000.0
04.05.2026,17.895,18.635,18.85,17.78,11.70M,-4.86%,11700000.0
30.04.2026,18.81,18.33,18.84,18.15,12.36M,1.81%,12360000.0
29.04.2026,18.475,18.92,18.985,18.475,12.25M,-1.62%,12250000.0
28.04.2026,18.78,18.69,18.935,18.66,5.85M,0.35%,5850000.0
27.04.2026,18.715,18.62,18.885,18.56,4.86M,0.73%,4860000.0
24.04.2026,18.58,18.44,18.675,18.34,7.52M,-0.43%,7520000.0
23.04.2026,18.66,18.845,18.925,18.535,10.11M,-2.12%,10110000.0
22.04.2026,19.065,19.3,19.38,18.97,7.92M,-0.86%,7920000.0
21.04.2026,19.23,19.7,19.74,19.225,8.28M,-1.96%,8279999.999999999
20.04.2026,19.615,19.8,19.945,19.53,10.13M,-3.42%,10130000.0
17.04.2026,20.31,19.525,20.43,19.505,13.51M,3.78%,13510000.0
16.04.2026,19.57,19.73,19.83,19.535,12.78M,-0.94%,12780000.0
15.04.2026,19.755,19.885,19.975,19.69,8.48M,-1.57%,8480000.0
14.04.2026,20.07,19.81,20.12,19.695,10.31M,1.88%,10310000.0
13.04.2026,19.7,19.3,19.715,19.28,9.67M,-0.03%,9670000.0
10.04.2026,19.705,19.345,19.805,19.245,12.97M,2.58%,12970000.0
09.04.2026,19.21,19.49,19.58,19.1,11.85M,-1.69%,11850000.0
08.04.2026,19.54,19.5,19.835,19.305,18.97M,3.44%,18970000.0
07.04.2026,18.89,18.95,19.335,18.73,14.62M,0.64%,14620000.0
02.04.2026,18.77,18.355,18.785,18.285,11.45M,-0.53%,11450000.0
01.04.2026,18.87,18.9,19.06,18.735,13.44M,3.40%,13440000.0
31.03.2026,18.25,17.96,18.375,17.95,15.45M,1.45%,15450000.0
30.03.2026,17.99,17.845,18.095,17.79,10.12M,0.45%,10120000.0
27.03.2026,17.91,18.36,18.405,17.815,12.15M,-2.10%,12150000.0
26.03.2026,18.295,18.53,18.625,18.215,10.21M,-2.06%,10210000.0
25.03.2026,18.68,18.73,18.84,18.515,9.30M,2.16%,9300000.0
24.03.2026,18.285,18.5,18.575,17.955,11.81M,-0.84%,11810000.0
23.03.2026,18.44,17.5,18.92,17.375,19.92M,2.87%,19920000.0
20.03.2026,17.925,18.265,18.435,17.685,29.10M,0.06%,29100000.0
19.03.2026,17.915,17.925,18.05,17.67,17.80M,-2.18%,17800000.0
18.03.2026,18.315,18.375,18.57,18.12,12.27M,1.02%,12270000.0
17.03.2026,18.13,18.035,18.44,18.0,7.41M,0.17%,7410000.0
16.03.2026,18.1,17.965,18.26,17.72,7.70M,0.50%,7700000.0
13.03.2026,18.01,17.93,18.375,17.745,10.69M,-0.96%,10690000.0
12.03.2026,18.185,18.75,18.76,17.825,14.25M,-3.53%,14250000.0
11.03.2026,18.85,18.73,19.045,18.675,9.43M,-1.26%,9430000.0
10.03.2026,19.09,18.975,19.16,18.585,13.29M,4.77%,13290000.0
09.03.2026,18.22,17.71,18.31,17.58,11.97M,-0.82%,11970000.0
06.03.2026,18.37,18.68,18.81,18.025,14.11M,-0.97%,14110000.0
05.03.2026,18.55,18.85,19.38,18.485,16.28M,-1.51%,16280000.000000002
04.03.2026,18.835,18.065,18.93,17.765,17.08M,4.26%,17080000.0
03.03.2026,18.065,18.6,18.7,17.775,25.50M,-4.85%,25500000.0
02.03.2026,18.985,18.9,19.28,18.78,16.06M,-3.87%,16059999.999999998
27.02.2026,19.75,20.06,20.21,19.585,13.19M,-1.74%,13190000.0
26.02.2026,20.1,20.0,20.12,19.885,5.36M,-0.30%,5360000.0
25.02.2026,20.16,20.03,20.16,19.94,5.89M,1.92%,5890000.0
24.02.2026,19.78,19.98,20.01,19.555,9.84M,-1.40%,9840000.0
23.02.2026,20.06,19.98,20.36,19.93,8.61M,1.03%,8610000.0
20.02.2026,19.855,19.88,19.925,19.575,11.38M,0.23%,11380000.0
19.02.2026,19.81,20.0,20.03,19.575,8.75M,-0.95%,8750000.0
18.02.2026,20.0,19.585,20.0,19.58,9.88M,2.35%,9880000.0
17.02.2026,19.54,19.4,19.65,19.34,6.88M,0.15%,6880000.0
16.02.2026,19.51,19.3,19.545,19.28,6.12M,2.07%,6120000.0
13.02.2026,19.115,19.7,20.0,19.0,17.04M,-3.44%,17040000.0
12.02.2026,19.795,20.48,20.52,19.765,10.84M,-2.00%,10840000.0
11.02.2026,20.2,20.58,20.8,20.03,10.52M,-1.94%,10520000.0
10.02.2026,20.6,20.65,20.89,20.44,9.93M,-0.15%,9930000.0
09.02.2026,20.63,20.5,20.65,20.34,9.00M,2.18%,9000000.0
06.02.2026,20.19,19.9,20.68,19.82,15.54M,1.05%,15540000.0
05.02.2026,19.98,20.92,21.2,19.98,25.44M,-8.81%,25440000.0
04.02.2026,21.91,22.03,22.24,21.79,8.28M,-0.54%,8279999.999999999
03.02.2026,22.03,22.09,22.33,21.9,7.34M,0.55%,7340000.0
02.02.2026,21.91,21.23,21.98,21.2,7.41M,2.14%,7410000.0
30.01.2026,21.45,21.19,21.61,21.17,8.07M,2.00%,8070000.0
29.01.2026,21.03,21.28,21.57,20.9,8.70M,0.05%,8700000.0
28.01.2026,21.02,21.53,21.62,21.02,10.60M,-2.82%,10600000.0
27.01.2026,21.63,21.47,21.74,21.37,6.84M,1.41%,6840000.0
26.01.2026,21.33,21.08,21.39,21.08,4.83M,1.19%,4830000.0
23.01.2026,21.08,21.25,21.31,20.99,6.23M,-1.13%,6230000.0
22.01.2026,21.32,21.1,21.36,20.93,8.42M,2.21%,8420000.0
21.01.2026,20.86,20.66,20.92,20.4,6.24M,0.38%,6240000.0
20.01.2026,20.78,20.77,20.94,20.46,6.96M,-0.72%,6960000.0
19.01.2026,20.93,20.82,21.01,20.56,6.67M,-0.10%,6670000.0
16.01.2026,20.95,20.79,20.95,20.71,8.20M,0.19%,8199999.999999999
15.01.2026,20.91,21.08,21.16,20.85,7.55M,-0.48%,7550000.0
14.01.2026,21.01,21.3,21.3,21.01,8.34M,0.00%,8340000.0
13.01.2026,21.01,20.76,21.07,20.73,8.23M,1.45%,8230000.0
12.01.2026,20.71,20.28,20.71,20.1,7.73M,1.27%,7730000.0
09.01.2026,20.45,20.36,20.45,20.08,9.62M,1.89%,9620000.0
08.01.2026,20.07,19.68,20.07,19.61,7.26M,1.01%,7260000.0
07.01.2026,19.87,20.1,20.15,19.835,10.27M,-2.36%,10270000.0
06.01.2026,20.35,20.62,20.82,20.2,9.21M,-1.31%,9210000.0
05.01.2026,20.62,20.64,20.78,20.29,9.15M,1.18%,9150000.0
02.01.2026,20.38,19.95,20.43,19.885,6.85M,1.65%,6850000.0
31.12.2025,20.05,19.855,20.13,19.855,3.74M,-0.15%,3740000.0
30.12.2025,20.08,19.675,20.12,19.675,6.13M,1.47%,6130000.0
29.12.2025,19.79,19.79,19.89,19.695,8.26M,0.20%,8260000.0
24.12.2025,19.75,19.63,19.84,19.63,2.19M,-0.10%,2190000.0
23.12.2025,19.77,19.75,19.875,19.49,7.07M,-0.05%,7070000.0
22.12.2025,19.78,19.785,20.03,19.73,6.16M,0.03%,6160000.0
19.12.2025,19.775,19.7,19.93,19.48,20.18M,1.07%,20180000.0
18.12.2025,19.565,19.205,19.565,19.135,8.20M,1.95%,8199999.999999999
17.12.2025,19.19,19.38,19.445,19.11,7.70M,-0.60%,7700000.0
16.12.2025,19.305,19.37,19.72,19.305,7.40M,-1.30%,7400000.0
15.12.2025,19.56,19.415,19.56,19.385,6.80M,1.85%,6800000.0
12.12.2025,19.205,19.5,19.56,19.135,8.03M,-1.13%,8029999.999999999
11.12.2025,19.425,19.065,19.565,18.9,7.10M,2.34%,7100000.0
10.12.2025,18.98,18.83,19.125,18.83,7.15M,0.24%,7150000.0
09.12.2025,18.935,18.95,19.07,18.79,6.75M,-0.13%,6750000.0
08.12.2025,18.96,18.8,18.96,18.73,5.13M,0.45%,5130000.0
05.12.2025,18.875,19.095,19.255,18.85,6.33M,-1.15%,6330000.0
04.12.2025,19.095,18.96,19.095,18.645,9.61M,2.19%,9610000.0
03.12.2025,18.685,18.795,19.075,18.685,9.58M,-0.69%,9580000.0
02.12.2025,18.815,18.78,18.98,18.75,8.39M,0.29%,8390000.0
01.12.2025,18.76,18.57,18.76,18.45,6.92M,1.05%,6920000.0
28.11.2025,18.565,18.53,18.665,18.48,4.31M,0.22%,4310000.0
27.11.2025,18.525,18.625,18.64,18.48,3.48M,-0.40%,3480000.0
26.11.2025,18.6,18.315,18.6,18.31,6.53M,1.72%,6530000.0
25.11.2025,18.285,17.93,18.41,17.9,5.26M,1.70%,5260000.0
24.11.2025,17.98,17.775,18.085,17.775,12.76M,1.55%,12760000.0
21.11.2025,17.705,17.54,17.805,17.465,9.77M,-1.42%,9770000.0
20.11.2025,17.96,17.96,18.15,17.855,7.52M,1.13%,7520000.0
19.11.2025,17.76,17.665,17.885,17.49,10.14M,0.91%,10140000.0
18.11.2025,17.6,17.715,17.895,17.485,9.11M,-2.82%,9110000.0
17.11.2025,18.11,18.335,18.46,18.02,7.67M,-1.50%,7670000.0
14.11.2025,18.385,18.5,18.69,18.225,11.02M,-2.62%,11020000.0
